Hotel Name,Rating,Title,Text,Reply
Radisson RED Miami Airport,3,Disappointed ,"Everything was clean but missing things.   Only one washcloth, nothing to put on the floor after a shower, and they need some kind of  shower mat.  Floor was very slippery.  No microwave to reheat food. Hotel restaurant was ok but nothing special.  Would not stay here again  ","We deeply apologize for any inconveniences you experienced during your stay. Your feedback is invaluable in helping us improve our services. Please know that we do provide shower mats on request to enhance your comfort and safety.  Thank you for sharing your thoughts, and we genuinely hope to welcome you back for a more enjoyable experience in the future.  Kind regards,"
Radisson RED Miami Airport,5,October stay 2023,"My family & I visited Miami and had the pleasure of staying at the Radisson Red Hotel. The best part of our stay was the overall hospitality of the staff! We stayed for breakfast and were greeted by the breakfast attendant, Asia. I must say, Asia is one of the most hardworking and  personable person I've encountered in Miami. Our entire dining experience, she literally did not stop cleaning and moving lol. Someone deserves a raise! But overall we definitely will be returning, the hotel had a nice ambiance and the interior design is beautiful.","We are delighted to hear about your recent stay at the Radisson Red Hotel in Miami. Your kind words brightened our day.  It's wonderful to know that you had a memorable experience, particularly with the dedicated and hardworking staff, especially Asia. Your praise for her dedication is truly appreciated, and we'll certainly pass on your compliments.  We're thrilled you enjoyed the ambiance and interior design of our hotel. We look forward to your return, and if there's anything we can do to make your next stay even more exceptional, please don't hesitate to let us know.  Warm regards,"
Radisson RED Miami Airport,4,One night end of cruise stay,"Dadiel at the front desk was very accommodating. We arrived early right from ship and he was able to get us into our room early, which we greatly appreciated. The hotel is made for just a one or two night stay-simple room, beds were comfortable, shower was spacious & nice and hot. Not much room for your toiletries.  Did not go to the bar in the lobby but was available all day. Easy to get an Uber to the beach. No hot tub at the pool, just a basic pool. Would stay again for a quick trip.","Thank you for taking the time to share your recent stay experience with us. We're pleased to hear that Dadiel at the front desk was able to accommodate your early arrival, and we appreciate your kind words.  It's great to know that you found our hotel well-suited for a one or two-night stay, with comfortable beds, a spacious shower, and a readily available bar. We understand your comments about limited toiletry space and the pool facilities, and we'll certainly take your feedback into consideration.  We're delighted to hear that you'd consider staying with us again for a quick trip. If there's anything we can do to make your next visit even more enjoyable, please let us know.  Warm regards"
Radisson RED Miami Airport,5,It Does what it says,"It does what it says...  It's an airport hotel, clean and efficient  Airport pick up runs every 30mins  Would stay again for a night if at the airport.  TIP....if you don't have luggage (perhaps one case) then you can take the airport tram to the car rental station and walk from there, the walking time is only 5-8 mins","Thank you for your feedback; it's much appreciated. We're glad to know that you found our airport hotel to be efficient.  Your insights are valuable to us, and we hope to welcome you back in the future.  Best regards,"
Radisson RED Miami Airport,4,Excellent service ,"Server at the bar, Moisely F, was so nice and took great care of my whole party! She was quick and consistent. The hotel itself has been a pleasurable experience, even after the fiasco with booking.com. Will book again","We appreciate your positive feedback and are delighted to hear about your excellent experience during your stay. It's great to know that you found our hotel to be a pleasurable experience.  Your intention to book with us again is a compliment we value, and we look forward to welcoming you back.  Warm regards"
Radisson RED Miami Airport,5,Great atmosphere and staff,Daniela at the bar was awesome! Very friendly and sweet. The wings were AMAZING !! Would highly recommend. Close proximity to airport and cruise ships. Check in went smoothly and everyone was super friendly. Looking forward to coming back !!,"We sincerely appreciate your positive feedback. We're delighted to hear that you enjoyed the great atmosphere and the excellent service provided during your stay.  It's fantastic to know that you found the wings amazing, and that your check-in process went smoothly. We look forward to welcoming you back and providing you with another memorable experience.  Warm regards,"
Radisson RED Miami Airport,5,A Memorable Stay at RED Hotel!,"My stay at RED Hotel was truly exceptional, largely thanks to the outstanding service provided by Nick. The hotel itself was beautifully designed, with comfortable rooms and top-notch cleanliness. The dining options were delightful, and the convenient location allowed for easy exploration of the city. The entire staff displayed a commitment to excellence that made my stay unforgettable. I highly recommend RED Hotel to anyone seeking a remarkable experience and look forward to returning on my next visit. Thank you, Nick and the entire team, for an outstanding stay!","We're thrilled to hear about your exceptional stay at RED Hotel. Nikulas and the entire team are grateful for your kind words. It's wonderful to know you enjoyed the well-designed hotel, comfortable rooms, top-notch cleanliness, and delightful dining options. We appreciate your recommendation and can't wait to welcome you back on your next visit. Thank you for choosing RED Hotel!"
Radisson RED Miami Airport,5,Roberto at the bar,What a surprise experience I got. I was driving by and was really hurry so opened up my TripAdvisor and found this hidden gem. I meet the kitchen manager Roberto who was behind the bar at the time and welcomed me with such a warm smile. I order some wings and beer that truly hit the spot! The bar has tv which is perfect for game night. If you're near the area I truly recommend!,"We sincerely appreciate your feedback on your recent visit to our bar. It's heartening to hear about the warm welcome you received from Roberto, our kitchen manager. We're delighted that you enjoyed the wings and beer during your stay, and the presence of a TV for entertainment added to your experience. We value your recommendation, and we look forward to the opportunity to serve you again in the future. Thank you for choosing our establishment."
Radisson RED Miami Airport,5,Modern Airport Hotel,Relaxing hotel in the Miami Airport area. I was very impressed with the service and cleanliness of this hotel. Daniel at the front desk was very nice and all the housekeeping personnel. Will come back again. ,"We are delighted to hear about your positive experience during your stay at our modern airport hotel in the Miami Airport area. Your compliments about the service and cleanliness are much appreciated, and we look forward to welcoming you back on your next visit. Thank you for choosing our hotel.  "
Radisson RED Miami Airport,3,Meh,Meh Review of Radisson RED Miami Airport Reviewed 4 weeks ago  The hotel was clean. The shuttle was really slow (close to an hour)picking us up from the airport. The restaurant closed when we went to the hotel. No stores close by. Staff for the most part was friendly. The hotel was average.,"We appreciate your feedback on your recent stay at Radisson RED Miami Airport. It's great to hear that you found the hotel clean, and we thank you for your comments about the friendly staff. We apologize for any inconvenience you experienced with the shuttle service, the restaurant hours, and the lack of nearby stores. Your input is valuable to us, and we'll work to improve the areas you mentioned. Thank you for your review.  best regards,"
Radisson RED Miami Airport,1,Complete disrespect of handicapped people.,Complete disrespect for the  people. I will be filing a complaint with the State. I ordered food and they would not allow it up nor bring it up and I could not walk. I told them I was  handicapped and tbey did not care. ,"Thank you for posting a review. Please accept our heartfelt apologies if the level of service you received from the hotel staff did not meet your expectation at that time. Certainly, this is not the kind of experience we would like our valued guests to have and we apologize for any inconvenience it has caused you. Know that your voice is highly important to us and will be forwarded to the hotel management for further betterment of our service. We hope for another opportunity to make a more favorable impression in the future. "
Radisson RED Miami Airport,1,Inappropriate Staff Behavior,"Hello, I want to leave my opinion about my stay at the Red Radisson Hotel, which was very bad since I asked for service and they did not give it to me. The houskiping manager rudely said that because of the covid, it did not touch me, which is absurd since neither he The government sees it that way and then I asked for towels, which they did not take me and the manager stood rudely in front of me in Spanish with another worker, speaking badly and saying that I should not think that they would give me service because I demand it, which is every three days, whether I want it or not, she never suspected that I speak Spanish perfectly, it seems unfortunate and unethical to me that they treat their clients like this, which is a fact, I never stay in that hotel again. This is why they","Thank you for posting a review. Please accept our heartfelt apologies if the level of service you received from the hotel staff especially the housekeeping did not meet your expectation at that time. Certainly, this is not the kind of experience we would like our valued guests to have and we apologize for any inconvenience it has caused you. Know that your voice is highly important to us and will be forwarded to the hotel management for further betterment of our service. We hope for another opportunity to make a more favorable impression in the future.    "
Radisson RED Miami Airport,1,Don't stay,"Don't stay the pictures of the rooms look way better than what you get. They advertise a rooftop bar that doesn't exist. Breakfast is $12 per person in the bar doesn't have half of what's on its menu. I left them item here, but because it wasn't between nine and five, nobody could even check to see if it was in lost and found. When I pointed these things out, nothing was done to make accommodations. Find another hotel.","Thank you for posting a review. Please accept our heartfelt apologies if the level of service you received from the hotel staff did not meet your expectation at that time and we are sorry to hear that your stay was less than satisfying due to the advertised rooftop bar and the breakfast. Certainly, this is not the kind of experience we would like our valued guests to have and we apologize for any inconvenience it has caused you. Know that your voice is highly important to us and will be forwarded to the hotel management for further betterment of our service. We hope for another opportunity to make a more favorable impression in the future.   "
Radisson RED Miami Airport,1,Don't stay here,"Bad service and staff that are rude and don't seem to care to address things. Breakfast says it's included but it's actually $12 per person for a crappy cheap breakfast. Management doesn't care to fix things, as they are too busy to address guests in person when asking to speak with them. The staff slam the doors in the halls and it makes it loud in the rooms. ","Thank you for posting a review. Please accept our heartfelt apologies if the level of service you received from the hotel staff did not meet your expectation as well as the breakfast and the noise from the doors in the hallway at that time. Certainly, this is not the kind of experience we would like our valued guests to have and we apologize for any inconvenience it has caused you. Know that your voice is highly important to us and will be forwarded to the hotel management for further betterment of our service. We hope for another opportunity to make a more favorable impression in the future."
Radisson RED Miami Airport,1,Industrial Chic. YUK,"Industrial chic not my style. Concrete ceilings and some walls scuffed to make look like light use. Bathrooms horrible. No shelf/counter space to put meds, makeup, curling iron. Shower floor very slippery.Locker room style storage units for clothing. Decent food, but bright cafeteria style bar. No wine at all on a Tuesday. Shuttle pick at airport SLOOOW, over 20 minute wait. Same for drop off the next day","Hi,  I'm sorry that you weren't completely pleased with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,3,manis & kogie for sleep over,"The Radisson RED Miami Airport is a good hotel for a short stay. It has got everything you need to relax between flights like a gym, a pool and a smal bar. Nothing spectacular. Great is the service with the airport shuttle bus. The location is not as good - that's why it is an airport hotel.","Hi,  We're glad you enjoyed your stay with us, and understanding that the benefit of our location is the proximity we have to the airport and how centered we are and the convenience of not being far away from every touristic area in the city. "
Radisson RED Miami Airport,1,Anniversary upgrade denied.,"Rude rude RUDE I hadn't even walked all the way in when the lady at the counter was already being extremely rude I proceeded with kindness. I asked her if there was a way to upgrade my room because it was my 10 year wedding anniversary and she said there's no complimentary upgrade and then elaborated that was not expecting a complimentary upgrade. However, I was willing to pay and she was still extremely rude and I feel like she didn't want to help me definitely last time I'll be booking at this hotel.","Hello,  We're sorry your experience didn't match your expectations. It was an uncommon instance, and we'll do better in the future. Please feel free to reach out to our General Manager with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance."
Radisson RED Miami Airport,3,Ok for a quick layover,"Average airport hotel. We only had a one night layover before the next stop at our journey so did not use many amenities. Room was clean. Don't bother with the breakfast - limited choices and none of them appetizing. Also, please make note of the close proximity to the airport - you will hear the planes.","Hi,  I'm sorry that you weren't completely satisfied/pleased with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,1,The dirtiest hotel in the world,"I stayed in this hotel for 9 nights and to my surprise they don't clean the rooms.  They claim it's because of the pandemic, but the pandemic is gone and even in the pandemic the hotels I visited were clean.  I complained and nothing was done.  Dirty rooms, dirty bathrooms, which qualifies this hotel as filthy, which does not care about hygiene.","Hi,  I'm sorry to hear that you had this experience and I completely understand why you are frustrated. This will be a training opportunity for us as we strive to provide the best possible service for our guests. I sincerely apologize for the inconvenience we caused you but appreciate you sharing this feedback so we can improve for the future."
Radisson RED Miami Airport,1,Terrible customer service,"I booked two rooms at the military/government rate, since we are retired veterans. Let me start by saying I booked this property due to the free breakfast and the discount to the military. I support businesses that support the military.  Check in was an issue the two ladies that were in the front were deep in a conversation I felt I was inconveniencing them by us checking in to the hotel. Once I said "" we need to check in "" they stopped talking and started to assist.   The next morning we got up and headed to the buffet. The nice lady at the register informed us that we need a voucher or pay the $13 for us to eat breakfast. Breakfast was included so I went to the front for her to look up our reservations since I couldn't access it on my phone since check in had passed. The lady","Hi Sophia,  We pride ourselves on our professional service and I'm sorry to hear you had a frustrating experience. This will be a training opportunity for us as we strive to provide the best possible service for our guests. It's important to us that our customers are more than satisfied and we would like the opportunity to resolve this issue immediately.   If you give us a chance, we intend to make this right and hope you will allow us to speak with you to discuss the situation.  Please give me a call at (786) 796.0199 at your earliest convenience."
Radisson RED Miami Airport,1,One Star ,"The desk area was not what I expected.  There was not plug on desk for laptop/computers, no desk lamp,  chair at table did not have wheels.  The iron leaked water once put in.  Staff never cleaned my room (I had a four day stay), no extra toilet paper in the room.  I called for more and I was told I had to go to the front desk... this was at night when I was already retired and ready for bed.",Hi!  I'm sorry to hear you weren't completely satisfied with your stay. I'll share this with management and rest of the team so it can be a training opportunity for us as we strive to provide the best possible service for our guests. We appreciate you sharing this feedback so we can improve for future guests. I hope we have the opportunity to deliver excellent hospitality next time.
Radisson RED Miami Airport,3,"My Experience was Ok, not more than that","Close to MIA Airport. Hotel looks new, offers shuttle service. Room was good size, but walls at the entrance of it were very dirty.  No places to eat around. Service is ok.  Terrible to attend a telephone call.  At arrival called more than 20 times to arrange pick up, never got an answer and the bus never passed by the Hotel Shuttle station at the airport. Got to take an Uber to get there. ","Hi Farah,  I'm sorry that you weren't completely satisfied with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,1,Would not be returning,The staff are unfriendly and not customer service oriented. They are not helpful and don't be bothered to assist. Asked to free ice packs to travel with insulin and was told that the hotel doesn't have a freezer .,"Hi,  I'm sorry to hear that you had this experience and I completely understand why you are frustrated. This will be a training opportunity for us as we strive to provide the best possible service for our guests. I sincerely apologize for the inconvenience we caused you but appreciate you sharing this feedback so we can improve for the future."
Radisson RED Miami Airport,3,Nice hotel in wrong area,Hotel is industrial modern but is not near anything but strip clubs/adult entertainment establishments.  Wanted somewhere to stay close to the port for a cruise but wish I had done more research on the area before booking.,"Hi!  I'm sorry that you weren't completely pleased with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,3,"Cool design, good location, horribly impractical room.","Pluses: -Location is perfect for a one-night stay with an early flight. My husband was able to return our rental car and walk back to the hotel in about 10 minutes.  -Shuttle to the airport was right on time (6am) and got us to our gate in less than 10 minutes. -Clean room and bathroom, comfortable bed.  Cons: -While the modern design is very cool, it's clear that the designer never thought about people actually being *in* it: the walls are flat and white, which might've been nice for two weeks after opening, but now they all look grimy and scuffed. This is both in the hallways and inside the room. It was clean, but the scruffy walls really made it look dingy.  -The room is decorated in a minimalist style that is horribly impractical. There isn't a closet, just a metal locker.","Hi Maria,  I'm sorry that you weren't completely satisfied with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,1,Canceled my reservation and won't give me my money back,"My wife and I arrived at the hotel at 2am excited for a good night's sleep before our anniversary cruise. When I arrived, the computer system was down. Instead of honoring my reservation, they told me that I was unable to stay with them that night and that I would need to WALK DOWN THE STREET to find another hotel. Instead of giving me anything in writing, they took my information and told me that they would be giving me a refund. With no refund, I issued a chargeback. Two months later they now are disputing it. Do not stay here if you value your money and your sanity. Absolutely awful.","Hello,  I'm sorry to hear you weren't completely satisfied with your stay. I'll share this with management and rest of the team so it can be a training opportunity for us as we strive to provide the best possible service for our guests. Would you be able to provide us with your reservation details? We'd like to see further into this and find a way to help if possible. We appreciate you sharing this feedback so we can improve for the future. I hope we have the opportunity to deliver excellent hospitality next time."
Radisson RED Miami Airport,1,Disappointing is not even near,What an awful place ... a RIP OFF  Staff struggle with English and have no manners ... have no concept about customer service ... we are just an inconvenience   It's expensive and has zero quality ... food standards poor  I would struggle to even recommend this place to someone I don't like  The only quality ... a good bathroom  Breakfast ,"Greetings,  I'm sorry that you weren't completely satisfied with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,3,Not close to anything,Continental breakfast was supposed to be included in our stay when we went down it was $15.50 Way-over priced. Ended up being a good thing because we took some takeout from the bar and it was so gross so we couldn't eat it dry cold never again and it cost $50 for two people that is outrageous no matter what city you're in and we were in about to go back downstairs to complain! Very nice bus driver from the airport. Gave us no help with trying to find a drugstore,"Hi Debbie,  I'm sorry to hear you weren't completely satisfied with your stay. I'll share this with management and rest of the team so it can be a training opportunity for us as we strive to provide the best possible service for our guests. Is there a way you can send us evidence your breakfast was included? That way we can help you. We appreciate you sharing this feedback so we can improve for future guests. I hope we have the opportunity to deliver excellent hospitality next time."
Radisson RED Miami Airport,2,Need lots of improvements,"Many improvements needed with beds and pillows to fitness center and front desk. Honestly, I will never come to this hotel again. Bottles of water needed since you proved 2 small ones and make people pay 7 dollars per bottle. ","Hi,  I'm sorry that you weren't completely satisfied with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,2,At least we had a bed to sleep in,"We booked here for one night before a cruise. And we are so happy it was just one night!  We won't stay here again and we'd not recommend this hotel.   First- they offer a free shuttle from the airport.   We waited where they told us.  The driver pulled up, got out of the shuttle van, and then disappeared for about :15 min.   He returned to the vehicle and was ready to pull away when one of the other couples standing with us waved him down and said there were 6 people waiting for him.  We get to the hotel early so we weren't expecting our room to be ready.  And it wasn't.  But there were a handful of other families who arrived too and the lobby has about 4 chairs and three tables/chairs.   Not a very welcoming lobby....nor was one of the staff members.   They did take our bags","Hi Johlice,  I'm sorry to hear you weren't completely satisfied with your stay. I'll share this with management and rest of the team so it can be a training opportunity for us as we strive to provide the best possible service for our guests. We appreciate you sharing this feedback so we can improve for future guests. I hope we have the opportunity to deliver excellent hospitality next time."
Radisson RED Miami Airport,1,Never Stay Here,"While I understand this is a new hotel it is not ready for prime time.  Our room had holes in the wall with temporary patches and bedroom wall had dents and scratches.  The bathroom was poorly designed because there is no shower door which means the water pools on bathroom floor so you have to use more towels to dry the floor.  When we requested additional towels we were told that we had to go down to the front desk to get them.  The towels were in a pile on same desk that you do the check in, so not sanitary.  Then the beds and bedding was very uncomfortable.  Finally the buffet lacked sufficient food to guest.","Hello,  I'm sorry to hear that you had this experience and I completely understand why you are frustrated. This will be a training opportunity for us as we strive to provide the best possible service for our guests. I sincerely apologize for the inconvenience we caused you but appreciate you sharing this feedback so we can improve for future guests. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,2,"Very, Very Poor Room Service","Housekeeping sucks, we spent 4 nights here and have yet to have our room cleaned.  No shampoo or conditioner.  We have asked twice to have our room cleaned, both times just received more towels.  The room is nice, but I have never jade service this bad.   Lesser hotel chains have better service than here. A one night stay may be ok, but don't stay longer!!!!!","Hi,  We pride ourselves on our professional service and I'm very sorry of the inconvenience caused in your stay. I'll share this with management and rest of the team so it can be a training opportunity for us as we strive to provide the best possible service for our guests. We appreciate you sharing this feedback so we can improve for future guests. I hope we have the opportunity to deliver excellent hospitality next time."
Radisson RED Miami Airport,1,They made a huge billing error and charged us twice!,Called the manager 10 times and left messages. Will not call back to resolve the issue. Called corporate and have not gotten a call back. I use Radisson for corporate events. Not any longer!! It is unacceptable customer service both at the hotel and the corporate level.,"I'm sorry to hear you had a frustrating experience, this is certainly not the level of service we expect for our guests. We would like to make things right. If you are willing to share more information regarding your stay, would you please consider giving me a call at (786) 633-0518."
Radisson RED Miami Airport,1,Loud!  Not adequately soundproofed from runway,"One of the worst nights of sleep I have ever had in any hotel, and I travel a lot. (And yes, I do have earplugs).   Most airport hotels - such as the TWA Hotel in JFK - make a point of soundproofing themselves from the airport operations nearby.  Not this one. It sounded as if the airplanes were landing between our two double beds.  On the plus side, the hotel is very new and our beds were comfortable. On the negative side, the restaurant ran out of everything on the menu except chicken wings by 9pm.  I do not recommend this hotel.","Hi,  I'm sorry that you weren't completely satisfied with your stay. We appreciate your feedback and if there is anything further you would like to share, we're available to take your call. I hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,2,Don't do it!!,"Check in took far too long. Our room was ok but not the cleanest. There was no body wash throughout the entire hotel. The restaurant and bar closed at 11 on a Saturday night and there is nothing else in the area. The breakfast was worse then free continental breakfast at other hotels, plus they served coffee out of a plastic drink cup. Overall it was not worth the price. I will be looking for somewhere else to stay next time.","Hello,  I'm sorry to hear that you had this experience and I completely understand why you are frustrated. This will be a training opportunity for us as we strive to provide the best possible service for our guests. I sincerely apologize for the inconvenience we caused you but appreciate you sharing this feedback so we can improve for the future and hope we have the opportunity to deliver a five-star experience next time."
Radisson RED Miami Airport,1,A distressed hotel,"I booked Radisson Red in hopes of finding a new hotel to stay at on regular trips to Miami.  Guided by early reviews, along which a chic YouTube preview, and the fact the hotel is new, I went ahead and booked.  The initial wow factor was over the top, and went straight downhill from there.  Once in bed, it became apparent the sheets had either been shook out and the bed remade, or the housekeeping staff was washing the bedding with an incredibly excessive amount of soap.  I began itching from my scalp to feet and everywhere between.  The more I ignored it, the worse it got.  There I was at sunrise trying to counter this by dumping gold bond powder all over my body.  A full sleepless night and my entry into the ‘Radisson Red' experience.  At that point I had no choice except to","Greetings,  Thanks for sharing your feedback. We're sorry your experience didn't match your expectations. It was an uncommon instance and we'll do better in the future. Please feel free to reach out  with any further comments, concerns, or suggestions you wish to share. We would love to make things right if you give us another chance."
Element Miami International Airport,5,Bang for your buck,Derek at the front desk was super helpful and patient when I was having issues with my card. The studio is great! The shuttles to and from the airport is perfect and Emilio the driver is very pleasant,"Thank you for taking the time to share about your stay with us, your feedback will be shared with the team as a way to celebrate achieving our goal of providing excellent service and guest satisfaction. We hope to have as our valued guest in your next visit to Miami. "
Element Miami International Airport,1,Non existent service recovery,"Their check in system shut down and overbooked about 5-7 families that arrived past midnight during the holiday season. Even tho i did my part in checking in via their app the day before, they still gave out my room. Requested for my rightful compensation as a Titanium but the resolution team, at first, denied this ever happened according to their ""records."" And as I refuted their argument with my receipts, the property and bonvoy resolution team both have been ghosting my past three emails. Service recovery for its Titanium member is non-existent.","Thank you for taking the time to leave a review, Jino. We are so sorry about the confusion with reservations that occurred while our server was temporarily down. It is never our intention to disappoint a guest. We are being sure to make this right by offering you the appropriate compensation for the inconvenience. "
Element Miami International Airport,1,"Dirty rooms, no management on site, the worst of the worst......","I recently used 70,000 bonboy points to stay five nights (Nov 24-25, 2021) on this property.  This was my first and will be my last time on this hotel. I experienced lot of discrepancies (including a very dirty floor) since I arrived on the property, on Nov 24 near 1000 pm.  I decided to stay that night because I had a long day and I was very tired to get out and start to look for another hotel on the area. Around 800 am on Nov 25, Thanksgiving day; I talked to the man on the front desk, I asked for a manager, he told me that no manager on duty.  I explained him some of the issues with the room, I requested if they can send someone to vacuum and clean the floors, he told me that I had to wait till the next day, no employees available to clean the floor.  I saw three",Thank you for taking the time to review our hotel. It is never our intention to disappoint a guest. We will review this complaint during our next team meeting to ensure it does not happen again.
Element Miami International Airport,3,"OK, not great","This hotel was fine, not great but conveniently located by Miami Airport and offering a shuttle.   The hotel wasn't well kept and we had some maintenance issues.   Again, fine for a short stay if you need to stay near Miami Airport.  I would not discourage you from having a short stay.","Thank you for sharing your experience, Beachluvinfamily. We appreciate when a guest lets us know when we are doing things right and where we can use some improvement. Your feedback will be shared with the hotel team to ensure we deliver exceptional customer service every time. We hope you will stay with us again the next time your travels bring you back to Miami. "
